artist,song,album,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,origin
John Denver,"Take Me Home, Country Roads",The Essential John Denver,5LV3AJZ7KOKCpoou8kny79,0.456,0.383,9,-9.516,1,0.0263,0.715,0.0,0.127,0.67,82.026,190040,4,0
Simon & Garfunkel,Cecilia,Bridge Over Troubled Water,6QhXQOpyYvbpdbyjgAqKdY,0.755,0.876,0,-8.867,1,0.0362,0.357,5.17e-06,0.22,0.954,102.762,174827,4,0
Carole King,It's Too Late,The Essential Carole King,4etJ8NpS7YJ6vViV2UEJit,0.698,0.446,9,-12.719,0,0.0284,0.494,0.0054,0.177,0.788,104.265,233187,4,0
Gloria Gaynor,I Will Survive - Single Version,20th Century Masters: The Millennium Collection: Best Of Gloria Gaynor,7cv28LXcjAC3GsXbUvXKbX,0.777,0.725,0,-8.681,1,0.05,0.0131,0.00805,0.246,0.529,116.669,198066,4,0
Electric Light Orchestra,Evil Woman,The Essential Electric Light Orchestra,05zCw24BdvZKGeC5NXowVe,0.697,0.656,9,-7.062,0,0.0283,0.43,4.66e-05,0.221,0.881,119.632,252373,4,0
Eddie Money,Baby Hold On,Eddie Money,5ZYvcJ04ccUw2Matbnmu0U,0.642,0.641,2,-12.444,1,0.049,0.154,1.23e-06,0.0475,0.85,120.316,210827,4,0
Blue Öyster Cult,Burnin' for You,Fire of Unknown Origin,3fkPMWQ6cBNBLuFcPyMS8s,0.532,0.728,9,-9.079,0,0.0352,0.106,0.0108,0.0849,0.69,134.303,271000,4,0
Bee Gees,Stayin' Alive - Remastered Version,Number Ones,3LmpQiFNgFCnvAnhhvKUyI,0.675,0.899,10,-6.124,0,0.0418,0.0696,0.000139,0.33,0.91,103.683,285200,4,0
The Main Ingredient,Everybody Plays the Fool,Everybody Plays The Fool: The Best Of The Main Ingredient,3DkqEHCCqlkknDfksHWWu0,0.485,0.641,3,-8.752,1,0.0418,0.704,9.92e-05,0.159,0.855,168.645,202253,4,0
The Jacksons,Shake Your Body (Down to the Ground) - Single Edit,The Essential Michael Jackson,6lSVidZXCnOnYAWcgIqVDF,0.774,0.803,0,-4.959,1,0.0877,0.0307,0.0,0.347,0.813,117.779,224893,4,0
Patti LaBelle,Lady Marmalade,Best Of Patti Labelle,3GGcwG519BTMdvMeFy7meT,0.571,0.654,2,-11.034,0,0.0501,0.551,0.0,0.0599,0.947,117.955,235267,4,0
Lou Reed,Walk On the Wild Side,Transformer,5p3JunprHCxClJjOmcLV8G,0.575,0.318,0,-16.729,1,0.109,0.683,0.000202,0.0934,0.385,104.522,254173,4,0
Dolly Parton,Jolene,Jolene,2SpEHTbUuebeLkgs9QB7Ue,0.674,0.537,1,-10.971,0,0.0363,0.566,0.0,0.131,0.809,110.578,161533,4,0
Glen Campbell,Southern Nights,Southern Nights,7kv7zBjMtVf0eIJle2VZxn,0.697,0.813,11,-8.89,0,0.0315,0.0989,0.0232,0.583,0.85,95.301,180027,4,0
Bill Withers,Use Me,The Essential Bill Withers,1k2ybm1oz7rVPchTKCgMMz,0.767,0.666,11,-10.223,0,0.0545,0.0422,0.00276,0.0743,0.937,154.51,222533,4,0
Patti Smith,Because the Night,Easter,0lIoY4ZQsdn5QzhraM9o9u,0.466,0.763,11,-7.748,0,0.0391,0.0542,0.0,0.119,0.473,123.539,204800,4,0
Electric Light Orchestra,Don't Bring Me Down,The Essential Electric Light Orchestra,7rjMG5Lm94fEdQ9XxD5WLg,0.637,0.858,2,-6.917,1,0.0338,0.133,0.000557,0.0652,0.798,115.696,243867,4,0
The Jackson 5,I Want You Back,Anthology: Jackson 5,3tSi6iFO9yLGIYIqMEgjC9,0.67,0.584,8,-8.325,1,0.034,0.439,0.00614,0.178,0.944,98.185,179227,4,0
Blondie,Heart Of Glass - Special Mix,Best Of Blondie,0a4agFmqHXxcZl1nho1BxM,0.694,0.577,4,-14.63,1,0.0308,0.015,0.00836,0.0853,0.845,114.478,275733,4,0
Billy Joel,Just the Way You Are,The Essential Billy Joel,20NBVwyVDqpcyQQ36ygcI6,0.582,0.455,7,-9.023,1,0.037,0.699,7.87e-06,0.138,0.462,139.126,288760,4,0
Kenny Loggins,This Is It,Keep The Fire,0YO8KsprTrEUEvJevpI7Na,0.641,0.497,7,-12.228,0,0.029,0.254,2.15e-06,0.158,0.743,102.274,236733,4,0
Kansas,Carry on Wayward Son,The Essential Kansas,2SUpC3UgKwLVOS2FtZif9N,0.452,0.788,7,-5.712,1,0.0326,0.00283,0.000116,0.441,0.793,126.739,322093,4,0
Al Green,Let's Stay Together,Let's Stay Together,7kWhdmRYv8CqbWNqfojqVd,0.746,0.273,5,-16.63,1,0.0573,0.606,0.0168,0.0526,0.502,101.952,199400,4,0
The Pointer Sisters,Fire,Energy (Expanded Edition),65lHwG8JFJs67PnOUhCYPq,0.65,0.615,1,-9.332,1,0.0342,0.201,0.00235,0.0805,0.637,118.294,210640,4,0
Johnny Nash,Let's Be Friends,The Best Of,6glYJG0uJzgxy6qAyqJmGb,0.845,0.405,7,-12.033,1,0.0695,0.754,1.06e-05,0.225,0.751,95.61,173707,4,0
Paul Simon,50 Ways to Leave Your Lover,The Essential Paul Simon,7bdDULyOUqNyWu6XPeAnSO,0.816,0.383,7,-12.398,1,0.064,0.19,4.19e-05,0.0974,0.341,101.631,208160,4,0
The Doobie Brothers,Long Train Runnin' - 2006 Remaster,Best of The Doobies,27YtiJUAxOWlc4BossxNea,0.575,0.708,7,-15.104,0,0.0377,0.0925,0.00791,0.207,0.884,117.347,206573,4,0
George Harrison,My Sweet Lord - Remastered 2014,All Things Must Pass (Remastered 2014),0qdQUeKVyevrbKhAo0ibxS,0.537,0.701,1,-8.913,0,0.0335,0.0972,0.0,0.0832,0.583,120.919,281227,4,0
The Full Tilt Boogie Band,Me and Bobby McGee,Janis Joplin's Greatest Hits,6okidOnyJoJ99FTaK4aeai,0.431,0.5,2,-9.918,1,0.0417,0.282,7.58e-05,0.148,0.659,93.164,269493,4,0
Queen,Bohemian Rhapsody - Remastered 2011,A Night At The Opera (Deluxe Remastered Version),7tFiyTwD0nx5a1eklYtX2J,0.392,0.402,0,-9.961,0,0.0536,0.288,0.0,0.243,0.228,143.883,354320,4,0
Hot Chocolate,You Sexy Thing,Hot Chocolate,714hERk9U1W8FMYkoC83CO,0.791,0.733,5,-5.465,1,0.0633,0.523,0.0016,0.167,0.962,105.853,244920,4,0
Billy Swan,I Can Help,Playlist: The Very Best Of Billy Swan,5J9DSJl3OLV8AqYm4rPa2x,0.472,0.685,0,-9.048,1,0.0495,0.503,0.0258,0.163,0.518,125.306,237947,4,0
Harold Melvin & The Blue Notes,If You Don't Know Me by Now (feat. Teddy Pendergrass),The Best Of Harold Melvin & The Blue Notes: If You Don't Know Me By Now (Featuring Teddy Pendergrass) (feat. Teddy Pendergrass),3oI95Uihdvu7uCiirC1DQA,0.467,0.371,11,-12.514,1,0.0322,0.659,6.67e-05,0.756,0.478,93.681,205573,3,0
Michael Jackson,Off the Wall,Off the Wall,3zYpRGnnoegSpt3SguSo3W,0.827,0.595,3,-13.909,0,0.0565,0.182,0.0,0.0785,0.921,118.741,246000,4,0
Bill Withers,Lean on Me,Lean on Me: The Best of Bill Withers,5zCJvrT3C7cIfHsR5iG95l,0.614,0.235,0,-11.8,1,0.0537,0.813,5.68e-06,0.161,0.413,75.178,257533,4,0
Fleetwood Mac,Go Your Own Way - 2004 Remaster,Rumours,07GvNcU1WdyZJq3XxP0kZa,0.583,0.947,5,-5.12,1,0.0378,0.0185,0.00109,0.0679,0.803,135.448,223613,4,0
Albert Hammond,It Never Rains in Southern California,It Never Rains In Southern California,6tunhVGD8C05MZNjSVIsjw,0.626,0.565,9,-10.027,1,0.0271,0.124,0.0,0.0811,0.924,116.61,233507,4,0
The Partridge Family,I Think I Love You,Come On Get Happy! The Very Best Of The Partridge Family,2hb6LFp0TwBjkhf37od4G3,0.432,0.471,3,-12.26,1,0.0473,0.422,0.0,0.141,0.783,203.27,173400,4,0
KC & The Sunshine Band,Get Down Tonight,KC & the Sunshine Band... and More,4msPRe3NEDVL6dsBcE7AhL,0.669,0.754,10,-12.223,1,0.0279,0.134,0.0069,0.46,0.906,112.683,315745,4,0
Melanie,Brand New Key,Beautiful People: The Greatest Hits of Melanie,3tm6LVXZJg0lG4hQm5ytrT,0.667,0.412,1,-7.544,1,0.0353,0.817,0.0,0.107,0.82,83.816,144867,4,0
The Jacksons,Blame It on the Boogie,The Essential Jacksons,2JPhjahxid1Y6nv6keJ3q2,0.76,0.77,5,-6.797,0,0.099,0.073,0.0,0.109,0.895,113.272,210293,4,0
Marvin Gaye,Let's Get It On,Let's Get It On (Expanded Edition),0jHkgTtTaqg5LNCiYDQPUB,0.55,0.611,3,-10.657,1,0.0443,0.0392,0.0,0.0631,0.626,168.512,290960,4,0
The O'Jays,Give the People What They Want,The Ultimate O'Jays,1PpqJwngLvPd0VotrqusQm,0.692,0.843,7,-6.003,0,0.266,0.0917,0.0,0.627,0.871,97.863,250667,4,0
Santana,Oye Como Va,The Essential Santana,2x3mxqBudSUL4Vdewn32YL,0.732,0.52,7,-7.393,1,0.0435,0.333,0.507,0.0874,0.959,128.3,256760,4,0
REO Speedwagon,Roll with the Changes,The Essential REO Speedwagon,5V1Lf3KHwcoLTInrP93cqc,0.465,0.879,0,-6.649,1,0.0421,0.00513,2.25e-06,0.156,0.703,93.67,336907,4,0
Carole King,So Far Away,Tapestry,4HHge4zAyIw3pkrtFzmwCl,0.49,0.172,2,-14.251,1,0.0372,0.897,3.32e-05,0.0753,0.361,143.837,235627,4,0
Daryl Hall & John Oates,Alone Too Long,Daryl Hall & John Oates (The Silver Album),4rmrkMGQRhjU66zcf37fy6,0.475,0.694,9,-10.845,1,0.0449,0.185,0.00024,0.156,0.961,160.481,199800,4,0
"Earth, Wind & Fire",Boogie Wonderland,"The Essential Earth, Wind & Fire",2uIjioli5S9latMAPIbUCg,0.803,0.763,2,-10.785,0,0.0359,0.0895,0.00869,0.0283,0.963,131.714,288600,4,0
The Knack,My Sharona,Get The Knack,1HOMkjp0nHMaTnfAkslCQj,0.586,0.7,0,-9.558,1,0.0363,0.0589,0.00125,0.0318,0.897,147.245,295400,4,0
Jerry Reed,East Bound and Down,The Essential Jerry Reed,4ubYnxmt3qW3wZdqMZbqOh,0.518,0.913,7,-10.616,1,0.0559,0.369,0.0,0.289,0.774,121.65,166733,4,0
Pure Prairie League,Amie,Greatest Hits,1mqydO6xMtyTPa8yo1SdVr,0.553,0.449,9,-11.722,1,0.0292,0.567,0.0,0.0892,0.423,88.788,260933,4,0
Cheap Trick,"I Want You to Want Me - Live at Nippon Budokan, Tokyo, JPN - April 1978",The Essential Cheap Trick,6hnCx2jmD0RPkbtzUXSBn4,0.338,0.887,2,-8.873,1,0.0438,0.00962,0.011,0.556,0.399,206.255,223667,4,0
Journey,Wheel in the Sky,The Essential Journey,6DXv7vJPrDRxo3Lnh4bacS,0.483,0.764,2,-7.039,0,0.06,0.068,2.42e-06,0.126,0.399,105.694,252640,4,0
Billy Paul,Me and Mrs. Jones,360 Degrees Of Billy Paul,4sj8qFcEDnRPNv3tBbUVUf,0.303,0.555,0,-9.259,0,0.0482,0.388,1.16e-06,0.468,0.447,67.322,285760,4,0
Elvis Presley,Suspicious Minds,The Essential Elvis Presley,3rSsfex84o72wsK1rTWOo1,0.482,0.505,7,-6.465,1,0.0287,0.0419,2.95e-06,0.555,0.719,116.382,270773,4,0
Harry Nilsson,Without You,Everybody's Talkin': The Very Best of Harry Nilsson,7vqubB6rY1NpGVGpHYobbQ,0.441,0.212,4,-13.657,1,0.0287,0.556,5.52e-06,0.0578,0.124,65.311,202027,4,0
Mac Davis,Baby Don't Get Hooked on Me,Baby Don't Get Hooked On Me,4z51Gf7Ppt9Lmu5zmnUIz9,0.495,0.307,9,-18.168,1,0.0403,0.26,5.21e-05,0.103,0.802,80.97,183933,4,0
Jimmy Buffett,Margaritaville,Songs You Know By Heart,57FvuUotRyzRl8hwIhCVuO,0.793,0.474,2,-15.903,1,0.0378,0.634,0.00051,0.0951,0.842,125.143,249200,4,0
Sly & The Family Stone,Thank You (Falettinme Be Mice Elf Agin) - Single Version,Greatest Hits,74iQ3gahRTOGc19bYadBE3,0.9,0.709,9,-12.683,1,0.0636,0.296,0.00047,0.0863,0.897,105.822,291320,4,0
Lynyrd Skynyrd,Sweet Home Alabama,Second Helping,7e89621JPkKaeDSTQ3avtg,0.596,0.605,7,-12.145,1,0.0255,0.181,0.000331,0.0863,0.886,97.798,283800,4,0
Queen,Brighton Rock - Remastered 2011,Sheer Heart Attack (Deluxe Remastered Version),4ObxJP7kYUkBqpiklCzrBo,0.352,0.842,11,-9.168,0,0.389,0.361,0.0142,0.79,0.351,138.109,310013,4,0
The Guess Who,"American Woman - 7"" Single Version",Platinum & Gold Collection,5LPGZnsy07YNxeuTI1X3RT,0.538,0.841,9,-7.547,1,0.0375,0.0424,0.00178,0.312,0.881,93.077,231640,4,0
Nicki Minaj,Anaconda,The Pinkprint (International Deluxe Explicit),5eqiMMbaeUZ32Q7sS00H35,0.964,0.605,9,-6.223,1,0.179,0.0668,7.78e-06,0.214,0.646,129.994,260240,4,0
The Who,Baba O'Riley - Remix,Who's Next (Expanded Edition),0TzCim4sBQZ9N0AAG25lOM,0.404,0.589,5,-11.131,1,0.0396,0.364,0.0512,0.196,0.129,117.952,308693,4,0
Heart,Barracuda,The Essential Heart,4f2QcB0RYGz70dXGjvpR0w,0.538,0.908,4,-6.277,0,0.0435,0.00293,0.124,0.123,0.665,137.416,262507,4,0
The Three Degrees,When Will I See You Again,The Best Of The Three Degrees: When Will I See You Again,2k3b3uzuEQJLmSV9BlSZTM,0.541,0.596,9,-10.944,1,0.0336,0.576,0.00559,0.283,0.776,120.645,178467,4,0
Meat Loaf,Two Out of Three Ain't Bad,Bat Out Of Hell,2ph0hzV1kCVhR82E2La4q5,0.586,0.48,9,-9.138,1,0.0243,0.385,0.0,0.0947,0.488,79.873,324440,4,0
Pink Floyd,Wish You Were Here,Echoes: The Best of Pink Floyd,6iMjntVYkchLBJcqsiSNYZ,0.501,0.318,7,-13.753,1,0.0509,0.739,0.000528,0.376,0.285,121.633,321080,4,0
Dolly Parton,I Will Always Love You,Jolene,6nRvgo4ySezQKD1D7NIqAu,0.446,0.142,9,-13.498,1,0.0335,0.96,0.00114,0.101,0.156,135.724,176093,4,0
Michael Jackson,Billie Jean,Thriller,7J1uxwnxfQLu4APicE5Rnj,0.932,0.457,11,-9.62,0,0.0541,0.0173,0.0436,0.0414,0.884,117.002,294227,4,0
Billy Ocean,Caribbean Queen (No More Love On the Run),Here You Are: The Music of My Life,72dwliDcUH6g2TFiMTEbE9,0.785,0.671,5,-7.047,1,0.0267,0.176,6.45e-05,0.0955,0.95,113.805,244440,4,0
George Michael,Faith - Remastered,Faith,0HEmnAUT8PHznIAAmVXqFJ,0.887,0.48,11,-11.994,1,0.117,0.0094,3.58e-05,0.0662,0.607,95.846,193200,4,0
Whitney Houston,I Wanna Dance with Somebody (Who Loves Me),Whitney,2k1np6GRFvKjgjYfo2g39B,0.709,0.824,1,-8.824,1,0.0453,0.207,0.000307,0.0888,0.867,118.814,291293,4,0
Billy Joel,It's Still Rock and Roll to Me,The Essential Billy Joel,7LbOQt7isddrw3Bs3Czl7E,0.745,0.655,5,-7.589,1,0.166,0.0958,1.99e-06,0.0895,0.582,141.429,177267,4,0
The Clash,Rock the Casbah,Combat Rock,4IMvgp0WZqr9mRqpEvDKxI,0.793,0.83,9,-12.055,0,0.0687,0.329,0.0,0.106,0.841,129.046,220333,4,0
Bruce Springsteen,Dancing In the Dark,Born In The U.S.A.,7FwBtcecmlpc1sLySPXeGE,0.527,0.942,1,-5.64,0,0.0366,0.0115,0.0,0.188,0.495,148.723,241307,4,0
Madonna,Material Girl,Celebration (double disc version),22sLuJYcvZOSoLLRYev1s5,0.742,0.883,0,-3.419,1,0.0329,0.333,7.51e-06,0.0964,0.978,136.506,240280,4,0
The Romantics,What I Like About You,What I Like About You (And Other Romantic Hits),6NdcSEhpGGAYXNnnhGS2s6,0.542,0.915,9,-9.637,1,0.0549,0.319,5.34e-05,0.171,0.92,159.81,175400,4,0
A Flock Of Seagulls,I Ran,Hits Of The 80s (100 Songs),10zlwR7kvVbD9OBkeZWr3L,0.537,0.815,2,-6.208,1,0.0348,0.000418,0.807,0.194,0.691,145.424,219907,4,0
David Bowie,Modern Love - Single Version [Remastered],Legacy (Deluxe Edition),0IzwEXmCbVDvB6hEzDaSwG,0.47,0.891,0,-8.687,1,0.0314,0.0023,2.46e-05,0.0581,0.954,91.833,237920,4,0
Eddie Money,Take Me Home Tonight,The Best Of Eddie Money,63diy8Bzm0pHMAU37By2Nh,0.622,0.845,1,-5.984,1,0.0324,0.117,0.0,0.0984,0.718,132.747,211467,4,0
REO Speedwagon,Keep on Loving You,Hi Infidelity (30th Anniversary Edition),4rcHWl68ai6KvpXlc8vbnE,0.306,0.722,0,-5.963,1,0.034,0.0519,0.0,0.117,0.41,174.732,200293,4,0
AC/DC,You Shook Me All Night Long,Back In Black,2SiXAy7TuUkycRVbbWDEpo,0.532,0.767,7,-5.509,1,0.0574,0.00287,0.000513,0.39,0.755,127.361,210173,4,0
Men At Work,Down Under,The Best Of Men At Work: Contraband,46RVKt5Edm1zl0rXhPJZxz,0.746,0.79,11,-4.7,0,0.0257,0.0485,0.0261,0.0534,0.891,107.231,220867,4,0
Sananda Maitreya,Wishing Well,Pop Music: The Modern Era 1976-1999,3PV8lDsAk1QV2D00voUgnc,0.86,0.512,10,-9.596,0,0.0612,0.124,0.0,0.104,0.767,104.9,212960,4,0
Cyndi Lauper,Girls Just Want to Have Fun,She's So Unusual: A 30th Anniversary Celebration (Deluxe Edition),2zjt2hHBbiv5SuxYg8Z7eP,0.707,0.788,6,-5.269,1,0.0333,0.214,0.000571,0.308,0.746,120.465,238120,4,0
Dolly Parton,9 to 5,Dolly,07j5RLJHwsm4cUb3GGoW3w,0.557,0.615,6,-10.638,1,0.0418,0.5,1.02e-06,0.487,0.82,104.475,165653,4,0
Michael Jackson,Beat It,Thriller,3BovdzfaX4jb5KFQwoPfAw,0.776,0.711,3,-9.03,0,0.0473,0.0242,0.000353,0.234,0.901,138.728,258400,4,0
Billy Joel,Uptown Girl,The Essential Billy Joel,3CSpzkoL1XgDBZ1q9aDCUV,0.696,0.943,4,-2.962,1,0.0431,0.0736,0.0,0.653,0.833,129.003,194867,4,0
Aretha Franklin,Freeway of Love - Single Mix,Knew You Were Waiting: The Best Of Aretha Franklin 1980-1998,0RaY0juzXaCUDZ7SWGn85j,0.738,0.921,0,-4.908,1,0.124,0.33,2.09e-06,0.066,0.668,125.436,246693,4,0
Survivor,Eye of the Tiger,The Best Of Survivor,0cKuO2BdECtbVQDCGx1dqa,0.824,0.556,0,-10.711,0,0.033,0.146,0.000394,0.0839,0.566,108.858,245640,4,0
Loverboy,Working for the Weekend,We Are The '80s,0sgDEFq9oeC8ueOK0mR5IA,0.526,0.924,7,-5.591,1,0.0391,0.027,0.000728,0.598,0.793,147.28,220707,4,0
Prince,Raspberry Beret,Raspberry Beret / She's Always In My Hair,4W9zWGHdrDFygC2Mf1Xmru,0.761,0.67,2,-12.759,1,0.0438,0.21,0.000426,0.0685,0.91,120.752,215173,4,0
Bruce Springsteen,Hungry Heart,The River,1KsI8NEeAna8ZIdojI3FiT,0.641,0.894,8,-7.41,1,0.0273,0.0857,0.009,0.157,0.972,109.823,199453,4,0
Midnight Oil,Beds Are Burning - Remastered,20000 Watt RSL - The Midnight Oil Collection,6Nabz5Gsy80XL0MJoOmgF8,0.754,0.496,0,-8.7,1,0.0351,0.00539,0.000152,0.0871,0.341,119.186,258173,4,0
'Til Tuesday,Voices Carry,Playlist: The Very Best '80s Radio Hits,2vyGjYndW7bP9Zn4a3yp85,0.614,0.628,0,-7.936,1,0.0265,0.00336,2.43e-06,0.0853,0.403,106.637,259907,4,0
The Clash,Train in Vain (Stand by Me) - Remastered,Hits Back,4Lv7EZcBhop6aituAZU8i5,0.764,0.717,2,-8.711,1,0.0416,0.0899,0.000519,0.125,0.962,122.758,189973,4,0
Paul Simon,You Can Call Me Al,The Essential Paul Simon,6wLr2oR8eqUG5Beleh2Crm,0.777,0.725,5,-9.012,1,0.047,0.126,0.0108,0.0917,0.851,128.349,276360,4,0
Wham!,Wake Me Up Before You Go-Go - Remastered,Twenty Five,5qFPs70nZD1fQZOi7u7cIZ,0.607,0.795,0,-5.137,1,0.0496,0.0986,0.0,0.059,0.815,81.298,232280,4,0
Men At Work,Who Can It Be Now?,The Essential Men At Work,29r3fDexnrto7WABfpblNH,0.807,0.83,4,-4.04,1,0.0367,0.0444,0.000358,0.0842,0.954,128.501,203267,4,0
Huey Lewis & The News,The Power Of Love,Greatest Hits: Huey Lewis And The News,2olVm1lHicpveMAo4AUDRB,0.768,0.829,5,-5.109,1,0.0313,0.0964,2.92e-05,0.097,0.962,118.773,234333,4,0
Bow Wow Wow,I Want Candy,The Best Of Bow Wow Wow,6J8IwGX3oHi7x9B57vmMMW,0.686,0.649,7,-12.935,1,0.0642,0.00623,0.0625,0.0592,0.76,109.984,164533,4,0
David Bowie,Let's Dance - Single Version [Remastered],Legacy (Deluxe Edition),5PJBrwKH7SdByGtDCBGJwb,0.647,0.65,10,-10.465,0,0.0407,0.00764,0.00446,0.129,0.749,114.461,250040,4,0
The Bangles,Manic Monday,Greatest Hits,4gnAKtZkXPYjWcTnsagfA9,0.718,0.743,2,-5.373,1,0.0268,0.434,6.26e-05,0.159,0.856,121.485,184893,4,0
Roy Orbison,You Got It,The Essential Roy Orbison,0RteYQqW1AOq3JNL0yMWYt,0.652,0.634,9,-9.914,1,0.0261,0.566,1.08e-06,0.15,0.674,114.681,211227,4,0
Sade,Smooth Operator - Single Version,The Best Of Sade,3oQ2qU2IFxL1Qp4pXQrYte,0.729,0.578,9,-6.643,0,0.0323,0.217,0.00178,0.0278,0.961,119.334,258307,4,0
Billy Ocean,"Get Outta My Dreams, Get Into My Car",Here You Are: The Music of My Life,7GnfIwQ9AYtyPL3Fa3srah,0.667,0.915,4,-6.163,1,0.0395,0.0857,6.55e-06,0.331,0.897,117.139,284347,4,0
Mötley Crüe,"Girls, Girls, Girls","Girls, Girls, Girls",5xLyTbCFONUGUuG0LtUxjn,0.6,0.931,7,-4.647,1,0.0734,0.0296,7.1e-05,0.392,0.542,140.123,270427,4,0
Whitney Houston,How Will I Know,I Will Always Love You: The Best Of Whitney Houston,6mv30SInldy4Ijy1XZ9GdO,0.838,0.664,6,-9.176,1,0.0445,0.202,0.000146,0.621,0.929,119.6,273413,4,0
Soft Cell,Tainted Love,The Singles,44hOGg1uFg1XJZGZYNwYmM,0.569,0.402,0,-10.151,1,0.0433,0.438,0.0,0.134,0.696,144.635,162507,4,0
Journey,Open Arms,The Essential Journey,1m2INxep6LfNa25OEg5jZl,0.311,0.257,2,-9.779,1,0.031,0.635,0.0,0.162,0.138,75.336,198667,4,0
Daryl Hall & John Oates,Maneater,H2O,4aKIs5t9TqP59btlCGPrgw,0.727,0.685,11,-7.159,0,0.0398,0.0351,4.43e-05,0.0973,0.812,88.75,271893,4,0
Starship,Nothing's Gonna Stop Us Now,No Protection,2vEQ9zBiwbAVXzS2SOxodY,0.643,0.801,6,-4.921,1,0.0228,0.0298,0.0,0.0719,0.534,95.988,270333,4,0
The Psychedelic Furs,Pretty in Pink,The Psychedelic Furs Superhits,1Cl1J4Ai7NkuhLdaDHthTh,0.376,0.885,2,-7.034,1,0.0775,0.117,0.0104,0.296,0.697,135.619,239960,4,0
Luther Vandross,Never Too Much,Never Too Much,3nFJbZCHP4d9vduKjJLdBL,0.734,0.586,2,-11.866,1,0.129,0.125,0.0,0.0367,0.762,109.933,230467,4,0
Michael Jackson,Thriller - Single Version,The Essential Michael Jackson,20efeySIfZoiSaISGLBbNs,0.777,0.818,11,-5.64,1,0.0462,0.0906,2.98e-05,0.714,0.847,118.405,312413,4,0
Kenny Loggins,"I'm Alright (Theme from ""Caddyshack"")",The Essential Kenny Loggins,2xfdvnGUikUfZZipwVw8nO,0.558,0.867,7,-6.439,1,0.0449,0.0902,0.0,0.378,0.942,163.213,227040,4,0
The Psychedelic Furs,Love My Way,The Psychedelic Furs Superhits,5rSekme9Kdoj2XZebQVl4C,0.64,0.768,0,-7.667,1,0.0355,0.00432,0.000228,0.126,0.531,126.093,214053,4,0
Bonnie Tyler,Total Eclipse of the Heart,The Very Best Of Bonnie Tyler,5prTs2HAw2G4idHZyeFp8o,0.435,0.658,8,-8.179,1,0.0661,0.195,0.0,0.102,0.184,130.276,269787,4,0
Van Halen,Jump,1984,2PfBSkCKZDXMsJogMT0wML,0.547,0.822,0,-7.201,1,0.0292,0.0745,0.00943,0.0645,0.774,130.138,239560,4,0
Matthew Wilder,Break My Stride,'80s Pop Hits,2ZqT3GcisHUBsEaqhLGHwU,0.901,0.654,10,-10.15,1,0.0655,0.2,0.0,0.165,0.781,110.131,180240,4,0
The Police,Every Breath You Take,Every Breath You Take : The Classics,2PnNomkEqlg9ADKCVG0Wt0,0.829,0.434,1,-10.52,1,0.0341,0.447,0.00168,0.0726,0.721,117.399,253733,4,0
REO Speedwagon,Can't Fight This Feeling,Wheels Are Turnin',5WwqdeavrQrbeAMDxGawse,0.408,0.48,9,-11.017,1,0.0266,0.155,1.82e-05,0.0877,0.19,156.344,294773,4,0
Men At Work,Overkill,The Essential Men At Work,0bBVRsBbgnzW8wmdlD7Apq,0.641,0.816,1,-3.963,0,0.0285,0.087,0.0,0.116,0.553,139.185,227133,4,0
Taylor Dayne,Tell It to My Heart,Platinum & Gold Collection,6jJCk7oHNwyowOUaF3gXEu,0.677,0.985,1,-4.678,1,0.0549,0.07,3.62e-05,0.351,0.87,118.092,220227,4,0
Rick Astley,Never Gonna Give You Up,Platinum & Gold Collection,0FutrWIUM5Mg3434asiwkp,0.695,0.976,8,-6.982,1,0.0428,0.0262,2.41e-05,0.182,0.937,113.357,212400,4,0
New Kids On The Block,You Got It (The Right Stuff),Greatest Hits,2BEL2ySEBDO02FLo3lOIZT,0.789,0.687,1,-7.441,1,0.0634,0.00637,2.77e-06,0.0571,0.862,111.493,250747,4,0
UB40,Red Red Wine,The Very Best Of,4uOKFydzAejjSFqYbv1XPt,0.857,0.468,1,-8.53,1,0.0476,0.00414,1.32e-05,0.269,0.843,89.119,183733,4,0
TOTO,Rosanna,The Essential Toto,0bvqwRVPx0DQCL7hVrDQ1K,0.432,0.584,7,-10.831,0,0.041,0.0131,0.000508,0.104,0.676,67.142,331507,3,0
Tom Petty,Free Fallin',Greatest Hits,4Z0ZWdhqh1RWeIKLl7zC6J,0.617,0.499,5,-11.574,1,0.0251,0.0703,0.0,0.0632,0.605,84.331,255680,4,0
Eddie Money,Think I'm In Love,No Control,6mJQe0vTIojlxwyMwwy6YR,0.486,0.83,3,-10.815,1,0.037,0.0104,0.000475,0.0635,0.652,151.869,188533,4,0
Bruce Springsteen,I'm On Fire,Born In The U.S.A.,3PzsbWSQdLCKDLxn7YZfkM,0.62,0.446,1,-14.451,0,0.0347,0.589,0.0299,0.0727,0.868,88.591,155880,4,0
Tears For Fears,Everybody Wants To Rule The World,Shout: The Very Best Of Tears For Fears,76798uYU1DhBRVWxSo1bhY,0.687,0.886,7,-8.219,1,0.0485,0.38,0.00646,0.0702,0.467,112.073,247533,4,0
Willie Nelson,On the Road Again - Live,Willie Nelson - 16 Biggest Hits,51wQovDO0hf05pkZYvu1GI,0.714,0.715,4,-9.965,1,0.0387,0.345,0.00567,0.927,0.841,111.036,152267,4,0
